National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2014-1159775,HMSC14-08-13-Pp,14NWR08073,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,100 yards north of the south dunes overlook trail,43.835595,dd.dddd,,_124.164006,,Internet,N,CBD,2014-AUG-13,2014,AUG,13,Beach or Land,,Fresh Dead,N,2014-AUG-13,2014,AUG,13,Fresh Dead,N,MALE,PUP/CALF,36,in,estimate,0,lb,estimate,N,,,,,,,,,
NW-2009-1104997,HMSC09-07-20-Pp,09NWR07089,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Gardiner,Douglas,OR,Pacific Ocean,north of Tahkenitch Creek outlet,43.805544,dd.dddd,,_124.168596,,Internet,N,CBD,2009-JUL-20,2009,JUL,20,Beach or Land,,Fresh Dead,N,2009-JUL-20,2009,JUL,20,Fresh Dead,N,UNKNOWN,YEARLING,0,cm,estimate,0,lb,estimate,N,,,,,,,,carcass found by plover monitor; reported next day,
NW-2015-1177269,CRC-1495,15NWR08039,"Porpoise, harbor",Phocoena,phocoena,Validated,Erin Keene,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,Taurus approach,46.97,dd.dddd,estimate,_124.17,estimate,Internet/Software,N,N,2015-AUG-23,2015,AUG,23,Beach or Land,,Fresh Dead,N,2015-AUG-23,2015,AUG,23,Fresh Dead,N,FEMALE,ADULT,171.5,cm,actual,55,kg,estimate,Y,complete,fresh,2015-AUG-24,2015,AUG,24,CRC,,
NW-2006-1056225,CRC708,06NWR03007,"Porpoise, harbor",Phocoena,phocoena,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,,47.015,decimal degrees,actual,_124.17,actual,Internet,N,CBD,2006-MAR-14,2006,MAR,14,Beach or Land,,Moderate Decomposition,N,2006-MAR-14,2006,MAR,14,Moderate Decomposition,N,MALE,ADULT,149,cm,actual,,,,N,,,,,,,,eyes gone; severely scavenged; most organs gone from abdominal cavity.,
NW-2015-1177272,CRC-1498,15NWR09019,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,between butterclam and jetty,47.022,dd.dddd,estimate,_124.17,estimate,Internet/Software,N,CBD,2015-SEP-05,2015,SEP,5,Beach or Land,,Mummified/Skeletal,Y,,,,,Mummified/Skeletal,N,UNKNOWN,ADULT,,,,,,,N,,,,,,,,,
NW-2010-1126539,CRC-1064,10NWR07121,"Porpoise, harbor",Phocoena,phocoena,Validated,Bethany Diehl,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,Midway btwn Daimon and Chance beach accesses,47.0075,dd.dddd,,_124.1701,,Internet/Software,N,CBD,2010-JUL-11,2010,JUL,11,Beach or Land,,Fresh Dead,N,2010-JUL-13,2010,JUL,13,Fresh Dead,N,FEMALE,PUP/CALF,83,cm,Actual,825,kg,Actual,Y,Complete,Fresh,2010-JUL-12,2010,JUL,12,CRC,"Reported on beach in close proximity to a juvenile salmon shark, Beacon Pest Control picked up the both animals and transferred them to CRC on following day. Both animals were placed on ice.",CRC-1064
NW-2011-1131021,CRC-1146,11NWR03003,"Porpoise, harbor",Phocoena,phocoena,Validated,Bethany A Diehl,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,Found on beach near the Shiloh Inn,47.0048,dd.dddd,,_124.1703,,Internet/Software,N,CBD,2011-MAR-07,2011,MAR,7,Beach or Land,,Fresh Dead,N,2011-MAR-07,2011,MAR,7,Fresh Dead,N,FEMALE,ADULT,173,cm,Actual,51,kg,Actual,Y,Complete,Fresh,2011-MAR-08,2011,MAR,8,CRC,Beacon Pest Control picked up Pp and transferred to BAD in Olympia for necropsy the following day.,CRC-1146
NW-2006-1062611,CRC-711,06NWR03038,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,"Ocean Shores, Chance Ala Mer Beach Access",47.0171,decimal degrees,actual,_124.1705,actual,GPS,N,N,2006-MAR-08,2006,MAR,8,Beach or Land,,Moderate Decomposition,N,2006-MAR-08,2006,MAR,8,Moderate Decomposition,N,MALE,SUBADULT,129,cm,actual,0,lb,estimate,Y,,,2006-MAY-09,2006,MAY,9,Cascadia Research,Beacon Pest Control picked up from beach and we sampled at their facility.,
NW-2007-1067313,CRC-788,,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,Just south of Quinault Beach resort,47.037,decimal degrees,,_124.172,,Internet/Software,N,CBD,2007-MAY-05,2007,MAY,5,Beach or Land,,Fresh Dead,Y,2007-MAY-05,2007,MAY,5,Fresh Dead,N,UNKNOWN,ADULT,150,cm,Estimated,120,lb,Estimated,N,,,,,,,,was reported up in the high tide line at 0800 on 5-May by enforcement officer driving the beach. JLH went out to pick up but by 1030 the animal had disappeared. Tide was out--appears to have been removed from beach by unknown party.,CRC-788
NW-2009-1091693,CRC-925,09NWR05015,"Porpoise, harbor",Phocoena,phocoena,Validated,Beacon Pest Control,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,Ocean Lake beach approach,46.984,dd.dddd,,_124.172,,Internet/Software,N,CBD,2009-MAY-27,2009,MAY,27,Beach or Land,,Fresh Dead,N,2009-MAY-28,2009,MAY,28,Moderate Decomposition,N,MALE,SUBADULT,141,cm,Actual,0,,,N,,,,,,,,First seen 25 May; not reported until 27 May. Removed from beach 28 May and kept on ice until taken to NMML freezers on 29 May,CRC-925
